t_s,bob1_energy_proxy_fraction,bob2_energy_proxy_fraction,bob3_energy_proxy_fraction,bob4_energy_proxy_fraction,bob5_energy_proxy_fraction
4.82341000,0.2819487285,0.4479151054,0.1729419671,0.02523967511,0.07195452382
4.84010000,0.2200053381,0.4722129876,0.2337415533,0.02221662437,0.05182349658
4.85679000,0.1854178883,0.4985292817,0.2574939347,0.003931711703,0.05462718364
4.87348000,0.1587649644,0.4914990672,0.2538632438,0.01426920209,0.0816035225
4.89017000,0.1348397468,0.4459875684,0.2396624939,0.06411150301,0.1153986879
4.90686000,0.1232182739,0.4021725276,0.2333800701,0.1179889248,0.1232402036
4.92355000,0.1266261909,0.3477348815,0.2531687061,0.1602774319,0.1121927896
4.94024000,0.1400002858,0.2834636948,0.2980967826,0.1881740208,0.09026521594
4.95693000,0.1662873334,0.2404041519,0.3257561911,0.2053958581,0.06215646542
4.97362000,0.1939443173,0.2297786725,0.3313662042,0.2103172087,0.0345935973
4.99031000,0.2104901241,0.2683271002,0.3030768236,0.204636278,0.0134696741
5.00700000,0.2118383696,0.3255494364,0.2533903634,0.1956417412,0.01358008938
5.02369000,0.2020018504,0.3369330223,0.2381596578,0.1837812485,0.03912422098
5.04038000,0.1814853622,0.3019267086,0.2765066739,0.1658643411,0.07421691426
5.05707000,0.1539024652,0.2540544348,0.3408902948,0.1409045781,0.1102482271
5.07376000,0.1356560701,0.210100152,0.4030899469,0.119470881,0.1316829499
5.09045000,0.1323100638,0.2053967828,0.4149654565,0.1026181886,0.1447095083
5.10714000,0.1368185062,0.2314847738,0.403350222,0.08500389521,0.1433426027
5.12383000,0.1507668684,0.293810071,0.3691484111,0.06458755377,0.1216870956
5.14052000,0.1693430208,0.3983414761,0.2941675216,0.04020973948,0.09793824205
5.15721000,0.1843218948,0.5216773007,0.1856639911,0.01987954168,0.08845727177
5.17390000,0.1908321025,0.5968993156,0.08896618198,0.009883082467,0.1134193175
5.19059000,0.2011841218,0.5673349783,0.04302646543,0.008300426181,0.1801540083
5.20728000,0.2252071838,0.4406192927,0.03613678932,0.01749720496,0.2805395292
5.22397000,0.2462660497,0.2825567099,0.04463042175,0.05145728988,0.3750895288
5.24066000,0.2298926698,0.1967073438,0.06701363108,0.1165385239,0.3898478314
5.25735000,0.1770918912,0.206537559,0.09391858421,0.1874889387,0.3349630268
5.27404000,0.1425149721,0.2024884182,0.1118850501,0.265367086,0.2777444736
5.29073000,0.143144219,0.1545166592,0.1187179856,0.3498178595,0.2338032767
5.30742000,0.1795295442,0.0975828164,0.12169195,0.3986155264,0.2025801629
5.32411000,0.2310254896,0.07411163965,0.1260668307,0.3876721887,0.1811238513
