t_s,bob1_proxy,bob2_proxy,bob3_proxy,bob4_proxy,bob5_proxy
152.16273000,-0.01513013423,0.1094776132,0.3756735908,0.4539469981,0.2660376174
152.17942000,-0.002125184397,0.1306688148,0.4214930523,0.4391990007,0.2533743872
152.19611000,0.01087976544,0.1567107908,0.4460888861,0.3995737492,0.2377600077
152.21280000,0.03656860325,0.1892814431,0.4433912041,0.3426054148,0.2207416977
152.22949000,0.06917485779,0.2189317748,0.4109475341,0.2791690179,0.2017081295
152.24618000,0.1017811123,0.2450051373,0.353928298,0.2172887353,0.1834826447
152.26287000,0.1327326506,0.2572768256,0.2779306173,0.1600324844,0.1573938324
152.27956000,0.1627746328,0.2454912769,0.1955400816,0.107281304,0.1221032066
152.29625000,0.1928166149,0.2150482232,0.1207738439,0.05933733932,0.08351584536
152.31294000,0.2046998122,0.1690007748,0.06223259729,0.01192801043,0.04234165196
152.32963000,0.2067832961,0.1114653459,0.02273450116,-0.034156592,-0.003134307432
152.34632000,0.2088667801,0.05358033727,-0.001015665268,-0.0775526641,-0.04831303716
152.36301000,0.1877921447,0.009528130296,-0.017222487,-0.1160069706,-0.09551205499
152.37970000,0.1541208632,-0.01615659516,-0.03289849219,-0.1456960567,-0.144146517
152.39639000,0.1204495818,-0.02647912907,-0.04922078094,-0.1655965666,-0.1864847911
152.41308000,0.07223043521,-0.02568579901,-0.06794305983,-0.1805531309,-0.2157406511
152.42977000,0.01603560369,-0.02472030022,-0.08560434979,-0.1911019624,-0.227901324
152.44646000,-0.04015922784,-0.03404326448,-0.100296652,-0.1989911643,-0.2275787845
152.46315000,-0.09471684466,-0.05349788148,-0.1099540982,-0.2046197541,-0.222571593
152.47984000,-0.1483932326,-0.08794046093,-0.1163039691,-0.2049235557,-0.2139867445
152.49653000,-0.2020696205,-0.1462998202,-0.1183548601,-0.1991169787,-0.1978090479
152.51322000,-0.2361887197,-0.2230475718,-0.1234877125,-0.1871516204,-0.1731796555
152.52991000,-0.2596977186,-0.3041657914,-0.1412671039,-0.1682242205,-0.1405458823
152.54660000,-0.2832067176,-0.3800687023,-0.174441005,-0.1439633823,-0.1035591335
152.56329000,-0.2854183421,-0.4356605686,-0.2179819266,-0.1177343932,-0.06462224665
152.57998000,-0.2762870122,-0.4632932643,-0.2663058024,-0.09552455996,-0.02468193368
152.59667000,-0.2671556823,-0.4623145768,-0.3089874647,-0.08098948055,0.01402910036
152.61336000,-0.2445024862,-0.4387321319,-0.3348500745,-0.07694791404,0.04451937939
152.63005000,-0.214590314,-0.3944070752,-0.3401025449,-0.08403846558,0.0684010506
152.64674000,-0.1846781417,-0.3392127453,-0.3193616737,-0.09955311217,0.08449335973
152.66343000,-0.1466820191,-0.2743165741,-0.2684955384,-0.1204568204,0.08767067496
152.68012000,-0.104425736,-0.2047634509,-0.1982606236,-0.1387193907,0.07907432284
152.69681000,-0.06216945288,-0.1292777981,-0.1183583427,-0.1442430926,0.05954759168
152.71350000,-0.0175504049,-0.0524484283,-0.03610668013,-0.1320900525,0.02716527396
152.73019000,0.02832372644,0.02624114117,0.03572138403,-0.09749587532,-0.005498621291
152.74688000,0.07419785778,0.09903975758,0.09561317684,-0.04492917997,-0.03892078329
152.76357000,0.1155692645,0.1623038652,0.1458489727,0.01653167096,-0.07505509652
152.78026000,0.1545928513,0.213906717,0.1869880796,0.07948112163,-0.1028661462
152.79695000,0.193616438,0.2550719174,0.2226061983,0.1287433507,-0.1171499012
152.81364000,0.2211526971,0.2876741643,0.2547473642,0.1527180709,-0.1169707702
152.83033000,0.2426512839,0.3113090717,0.2815183425,0.1524468577,-0.09180023409
152.84702000,0.2641498707,0.3222497791,0.3022018395,0.1330944688,-0.04867301264
152.86371000,0.2699436057,0.3249030812,0.3092516134,0.1047572633,0.00264713477
152.88040000,0.2676352918,0.3227400079,0.2978047677,0.0835071747,0.06222524231
152.89709000,0.2653269778,0.3177742138,0.2646974469,0.07839159451,0.1256079177
152.91378000,0.2450083812,0.3068807576,0.2167890485,0.09147507067,0.1803231348
152.93047000,0.2155708596,0.2823165584,0.1666443524,0.1204013114,0.2297751397
152.94716000,0.1861333381,0.2370474164,0.1303550144,0.1601930001,0.2690699876
152.96385000,0.1451929114,0.1762214377,0.1139456186,0.1997154619,0.2926176254
152.98054000,0.09838131857,0.1038693358,0.1162184012,0.2337664951,0.3028949825
152.99723000,0.05156972573,0.03620410653,0.1317279893,0.2598597192,0.2997448825
153.01392000,0.006449905628,-0.0177944712,0.1521364058,0.2727051662,0.2809462721
153.03061000,-0.03782250673,-0.05348003768,0.170255269,0.2699344182,0.2560894722
153.04730000,-0.08209491908,-0.07195984839,0.1804297572,0.2545668754,0.2251491276
153.06399000,-0.1126339814,-0.07757618583,0.1752202374,0.2222935827,0.1863690796
153.08068000,-0.1362382592,-0.07378030311,0.149421209,0.1779267429,0.1446725463
153.09737000,-0.1598425369,-0.05851859635,0.1061184832,0.1233777706,0.09888745942
153.11406000,-0.161734653,-0.04862959531,0.05144066344,0.06056266527,0.04708418166
153.13075000,-0.1525743756,-0.04688653923,-0.00488765982,-0.007821381838,0.001164171007
153.14744000,-0.1434140982,-0.05492095523,-0.05892375761,-0.07944776229,-0.04490064034
153.16413000,-0.1197198528,-0.08195245737,-0.1076220335,-0.1526262083,-0.0929005958
153.18082000,-0.08876515242,-0.1227419184,-0.1543033686,-0.2210184999,-0.132789038
153.19751000,-0.05781045209,-0.1680977596,-0.2011033079,-0.2793191049,-0.1662675628
153.21420000,-0.03055747723,-0.2088759405,-0.2470588154,-0.3239172648,-0.1988308339
153.23089000,-0.005168704678,-0.2344204728,-0.2902261939,-0.3521911307,-0.2240627097
153.24758000,0.02022006788,-0.2386579527,-0.3275994345,-0.3673974401,-0.2487400307
153.26427000,0.0289605296,-0.2211515067,-0.3521560243,-0.3741995338,-0.2704181499
153.28096000,0.029473715,-0.1849024752,-0.3559881363,-0.3750924439,-0.2808877945
153.29765000,0.02998690041,-0.1425661323,-0.3365722417,-0.3718209708,-0.2847183911
153.31434000,0.01626180405,-0.09720919951,-0.2894745225,-0.3642710921,-0.2806088186
153.33103000,-0.004367085567,-0.06165627807,-0.2227238213,-0.3469658342,-0.2672545268
153.34772000,-0.02499597518,-0.03911186145,-0.1450982062,-0.3146724421,-0.2465200026
153.36441000,-0.04765093477,-0.02882740534,-0.06608747733,-0.2684858562,-0.2179420565
153.38110000,-0.07129633712,-0.02470937981,0.002577203667,-0.2011031859,-0.1774246665
153.39779000,-0.09494173948,-0.02610686128,0.05062719307,-0.1164451033,-0.1310477712
153.41448000,-0.1044436663,-0.03147065355,0.07882268085,-0.02062943905,-0.08098787123
153.43117000,-0.1069750609,-0.03934274926,0.08726507782,0.07571254746,-0.02228941973
153.44786000,-0.1095064554,-0.0463554296,0.08668146448,0.1596901436,0.03781839914
153.46455000,-0.09729279405,-0.05328019303,0.08604324971,0.2176954483,0.1017074477
153.48124000,-0.07794907893,-0.05484301165,0.09049806008,0.2525314686,0.1718267467
153.49793000,-0.0586053638,-0.04318366405,0.1010363448,0.2619363895,0.240062545
153.51462000,-0.03125811366,-0.01611674341,0.11859705,0.2505470449,0.2926758206
153.53131000,-8.961851096e-06,0.01801684173,0.1393004881,0.229239724,0.3379613675
153.54800000,0.03124018996,0.06440058012,0.1618829293,0.2066392966,0.3704896972
153.56469000,0.06199821454,0.1177404859,0.1796131373,0.1897059243,0.3675853959
153.58138000,0.09252133325,0.167860956,0.1909664761,0.1865301776,0.3447785641
153.59807000,0.123044452,0.2173104116,0.1960891606,0.1943281583,0.3112063349
153.61476000,0.1478090043,0.2629425498,0.2029793388,0.2088676379,0.26268006
153.63145000,0.1697965571,0.2930231826,0.2168511554,0.2263991939,0.2100526301
153.64814000,0.1917841099,0.3137419809,0.2419913708,0.239886421,0.1553345772
153.66483000,0.2038629685,0.3242771523,0.2757085401,0.242977286,0.07888758803
153.68152000,0.2112542188,0.3233029145,0.3101060136,0.2268651891,0.005655843014
153.69821000,0.2186454692,0.3191330287,0.3331392528,0.1920502035,-0.05169721526
153.71490000,0.2152470164,0.3181881129,0.3346902978,0.1419231473,-0.09203382175
153.73159000,0.2067019707,0.3146872621,0.308565727,0.08545798052,-0.1121695325
153.74828000,0.198156925,0.306202705,0.2530730709,0.02945553705,-0.1194464463
153.76497000,0.1796203147,0.290747155,0.1719412757,-0.02278162036,-0.1196197461
153.78166000,0.1564086715,0.2601431193,0.07860668863,-0.06836355241,-0.1114330096
153.79835000,0.1331970283,0.20663638,-0.01367337147,-0.1044199067,-0.09486553786
153.81504000,0.09813297853,0.131555817,-0.0938559146,-0.1314015974,-0.07051159779
