t_s,theta1,theta2,theta3,theta4,theta5,omega1,omega2,omega3,omega4,omega5
1.35833333,-0.2071140754,0.06214558903,0.01493675456,-0.1452978282,-0.2228510718,2.405302828,0.6921333653,-2.213851584,-4.100832413,-1.307218114
1.36666667,-0.1866222381,0.0668376886,-0.006316090433,-0.1764812211,-0.2319740737,2.510411063,0.4202946016,-2.865438324,-3.375677242,-0.8925071119
1.37500000,-0.1653135172,0.06886111679,-0.03242418832,-0.201445796,-0.2378626774,2.601260613,0.04347352594,-3.372417267,-2.610374007,-0.5273128528
1.38333333,-0.1433089854,0.06710044226,-0.06195619838,-0.2199155934,-0.2408511694,2.677318926,-0.5008439589,-3.674280582,-1.818778957,-0.194229145
1.39166667,-0.1207339723,0.05978481532,-0.09271470866,-0.2318191726,-0.2411576135,2.738103096,-1.310542775,-3.615734791,-1.064121246,0.1177615428
1.40000000,-0.09772132765,0.04479122662,-0.1210878428,-0.2381541103,-0.2389283651,2.781096674,-2.28078664,-3.165331462,-0.4823934834,0.4151660073
1.40833333,-0.07446024085,0.02191695885,-0.1450973884,-0.240218386,-0.234271761,2.79612855,-3.198987649,-2.579829835,-0.03056037728,0.7004980987
1.41666667,-0.05122824652,-0.008334665285,-0.1638626111,-0.2389036366,-0.2272834674,2.771473233,-4.048383725,-1.91338472,0.3344377365,0.9748728622
1.42500000,-0.02844704119,-0.04508193291,-0.1770515638,-0.2348035042,-0.2180553957,2.681676479,-4.706907013,-1.287985957,0.6417579922,1.237888805
1.43333333,-0.006876070284,-0.0856286591,-0.1859351605,-0.2283189633,-0.2066863503,2.465860614,-4.953702548,-0.8744233358,0.9086768686,1.488591936
1.44166667,0.0118940411,-0.1263372498,-0.1920223922,-0.2197477156,-0.1932812107,1.969594554,-4.721956565,-0.6042818437,1.143533096,1.726390085
1.45000000,0.02460410394,-0.1626846938,-0.1962202536,-0.2093365359,-0.1779527336,1.061303326,-3.968619291,-0.4119276261,1.350878728,1.949948293
1.45833333,0.02962445585,-0.1923531902,-0.1989847205,-0.1973016902,-0.1608257353,0.1462294696,-3.146863102,-0.2553398991,1.533641101,2.157799136
