t_s,theta_rad
16.28385000,-0.1123858898
16.30470000,-0.1637289122
16.32555000,-0.211251091
16.34640000,-0.2500767167
16.36725000,-0.2801424843
16.38810000,-0.2993934515
16.40895000,-0.3098237929
16.42980000,-0.3073065393
16.45065000,-0.2953807645
16.47150000,-0.2731394662
16.49235000,-0.240419252
16.51320000,-0.1999684271
16.53405000,-0.1515076245
16.55490000,-0.09821343199
16.57575000,-0.04069457839
16.59660000,0.01780247305
16.61745000,0.07595846006
16.63830000,0.1317995845
16.65915000,0.1842598398
16.68000000,0.2291682119
16.70085000,0.2673240942
16.72170000,0.2966902006
16.74255000,0.3167460059
16.76340000,0.3263195376
16.78425000,0.3246040716
16.80510000,0.3128004371
16.82595000,0.2907871538
16.84680000,0.2587919314
16.86765000,0.2188657762
16.88850000,0.171868135
16.90935000,0.1193399431
16.93020000,0.06283817869
16.95105000,0.004438687625
16.97190000,-0.0515876075
16.99275000,-0.1080596873
17.01360000,-0.1587681577
17.03445000,-0.2047701755
17.05530000,-0.2425131325
17.07615000,-0.2708517121
17.09700000,-0.2917539379
17.11785000,-0.3010694525
17.13870000,-0.3002103257
17.15955000,-0.2888487581
17.18040000,-0.2671727314
17.20125000,-0.2357207071
17.22210000,-0.1967670348
17.24295000,-0.1504807728
17.26380000,-0.09777486477
17.28465000,-0.04313971916
17.30550000,0.01478044886
17.32635000,0.07167862626
17.34720000,0.1269818671
17.36805000,0.1770855177
17.38890000,0.2220949251
17.40975000,0.2590556964
17.43060000,0.2891607524
17.45145000,0.3081419957
17.47230000,0.3173887973
17.49315000,0.3169327894
17.51400000,0.3059815889
17.53485000,0.2843032368
17.55570000,0.2541004272
17.57655000,0.2145579277
17.59740000,0.1682637792
17.61825000,0.1172577085
17.63910000,0.0632114416
17.65995000,0.006457643749
17.68080000,-0.04905151708
17.70165000,-0.1035187914
17.72250000,-0.154521335
17.74335000,-0.1984259315
17.76420000,-0.2355325108
17.78505000,-0.264534194
17.80590000,-0.2839917026
17.82675000,-0.2939928756
17.84760000,-0.2928230858
17.86845000,-0.2812580975
17.88930000,-0.2607984768
17.91015000,-0.2306296324
17.93100000,-0.1920739906
17.95185000,-0.1460877992
17.97270000,-0.09563664312
17.99355000,-0.04200193896
18.01440000,0.01285775346
18.03525000,0.06935038156
18.05610000,0.1220225462
18.07695000,0.1716674978
18.09780000,0.2154866254
18.11865000,0.2518157439
18.13950000,0.2798112912
18.16035000,0.2996031588
18.18120000,0.3090158637
18.20205000,0.308407117
18.22290000,0.2968156485
18.24375000,0.2757358128
18.26460000,0.2458437408
18.28545000,0.208334416
18.30630000,0.1639041993
18.32715000,0.1150494572
18.34800000,0.06193587749
18.36885000,0.006773342241
18.38970000,-0.04748116958
18.41055000,-0.09999762106
18.43140000,-0.1480899311
18.45225000,-0.1911157011
18.47310000,-0.2275958776
18.49395000,-0.2548879177
18.51480000,-0.2731205502
18.53565000,-0.2825677795
18.55650000,-0.2812359471
18.57735000,-0.2704158421
18.59820000,-0.2501008703
18.61905000,-0.2209411932
18.63990000,-0.1837327036
18.66075000,-0.1397831396
18.68160000,-0.09141287622
18.70245000,-0.03931145172
18.72330000,0.01485778705
18.74415000,0.06955034986
18.76500000,0.1208250931
18.78585000,0.1684105009
18.80670000,0.2109796843
18.82755000,0.2462473763
18.84840000,0.2738220185
18.86925000,0.2921317698
18.89010000,0.3016591979
18.91095000,0.3010491468
18.93180000,0.2895574689
18.95265000,0.269789251
18.97350000,0.2404081953
18.99435000,0.2038746144
19.01520000,0.1605996389
19.03605000,0.1117056242
19.05690000,0.05998303328
19.07775000,0.005763016964
19.09860000,-0.04718030936
19.11945000,-0.09798746953
19.14030000,-0.1456656068
19.16115000,-0.1877481176
19.18200000,-0.2233176456
19.20285000,-0.2503966673
19.22370000,-0.2685223486
19.24455000,-0.2771741941
19.26540000,-0.2764217908
19.28625000,-0.2666871228
19.30710000,-0.2463000112
19.32795000,-0.2172362869
19.34880000,-0.1807256789
19.36965000,-0.1383750864
19.39050000,-0.09033184331
19.41135000,-0.03885727123
19.43220000,0.01383553517
19.45305000,0.06641192544
19.47390000,0.1171145248
19.49475000,0.1641962459
19.51560000,0.205860052
19.53645000,0.2403184502
19.55730000,0.2672721222
19.57815000,0.2853480244
19.59900000,0.2942920967
19.61985000,0.292815811
19.64070000,0.2827507074
19.66155000,0.2630526884
19.68240000,0.2338378731
19.70325000,0.1978182807
19.72410000,0.156288203
19.74495000,0.1089969204
19.76580000,0.05860853656
19.78665000,0.006062247394
19.80750000,-0.04519448007
19.82835000,-0.09527208886
19.84920000,-0.1416197679
19.87005000,-0.1815874915
19.89090000,-0.2162536247
19.91175000,-0.2422887198
19.93260000,-0.2593592844
19.95345000,-0.2680923577
19.97430000,-0.2673652126
19.99515000,-0.256431095
20.01600000,-0.2358792048
20.03685000,-0.2071880584
20.05770000,-0.1716152174
20.07855000,-0.1291861916
20.09940000,-0.08304189863
20.12025000,-0.03318710005
20.14110000,0.01828080518
20.16195000,0.0698293577
20.18280000,0.1189742716
20.20365000,0.164462498
20.22450000,0.2048859039
20.24535000,0.23870016
20.26620000,0.2642892952
20.28705000,0.2817463944
20.30790000,0.2888925629
20.32875000,0.2879226731
20.34960000,0.2769456506
20.37045000,0.2561499186
20.39130000,0.2284717518
20.41215000,0.1924524216
20.43300000,0.1501032614
20.45385000,0.1045763322
20.47470000,0.05607648201
20.49555000,0.004522665422
20.51640000,-0.04600083084
20.53725000,-0.09443827019
20.55810000,-0.1405559775
20.57895000,-0.1790107129
20.59980000,-0.2118042162
20.62065000,-0.2372695323
20.64150000,-0.2541646719
20.66235000,-0.261844507
20.68320000,-0.2604431171
20.70405000,-0.2489170418
20.72490000,-0.2295600945
20.74575000,-0.2011028708
20.76660000,-0.1664115376
20.78745000,-0.1252472068
20.80830000,-0.07967107498
20.82915000,-0.03053684611
20.85000000,0.01879007426
20.87085000,0.06901237277
20.89170000,0.1160742751
20.91255000,0.1597005162
20.93340000,0.1980845846
20.95425000,0.2304271858
20.97510000,0.2551186241
20.99595000,0.2711710578
21.01680000,0.2791882443
21.03765000,0.2772963527
21.05850000,0.2662641033
21.07935000,0.2466317654
21.10020000,0.2181734544
21.12105000,0.1834619908
21.14190000,0.1429098525
21.16275000,0.09746547021
21.18360000,0.04927649432
21.20445000,-0.0004342254662
21.22530000,-0.04990269963
21.24615000,-0.09706531807
21.26700000,-0.1405076355
21.28785000,-0.1790009164
21.30870000,-0.2101164684
21.32955000,-0.2339244987
21.35040000,-0.2504224922
21.37125000,-0.2573193832
21.39210000,-0.2547670533
21.41295000,-0.2434473007
21.43380000,-0.2235599158
21.45465000,-0.1955134389
21.47550000,-0.1608197349
