frequency_Hz,amp_rad
3.42421455,2.603321632e-05
3.43175687,7.498198858e-06
3.43929920,4.901070805e-06
3.44684152,1.043070754e-05
3.45438384,1.061524276e-05
3.46192617,1.286881804e-05
3.46946849,8.162760426e-06
3.47701081,2.783562813e-05
3.48455313,6.428428498e-05
3.49209546,5.306441666e-05
3.49963778,3.822317558e-05
3.50718010,2.918390897e-05
3.51472243,1.524201762e-05
3.52226475,3.004538077e-05
3.52980707,4.817413611e-05
3.53734939,4.334204544e-05
3.54489172,2.799534658e-05
3.55243404,1.905983676e-05
3.55997636,2.47440917e-05
3.56751869,1.444677203e-05
3.57506101,1.834778488e-05
3.58260333,1.96694342e-05
3.59014565,2.61927419e-05
3.59768798,3.671500053e-05
3.60523030,4.225035299e-05
3.61277262,4.21605984e-05
3.62031494,4.075600915e-05
3.62785727,1.203300211e-05
3.63539959,1.587063874e-05
3.64294191,2.837138086e-05
3.65048424,4.898547999e-05
3.65802656,4.7851081e-05
3.66556888,4.539855418e-05
3.67311120,2.758991609e-05
3.68065353,6.785048866e-06
3.68819585,3.43811744e-06
3.69573817,9.61421199e-06
3.70328050,7.406293944e-06
3.71082282,1.567666028e-05
3.71836514,5.833750976e-06
3.72590746,9.823666618e-06
3.73344979,2.870171196e-05
3.74099211,2.72618351e-05
3.74853443,2.139314233e-06
3.75607676,9.395627687e-06
3.76361908,2.347901165e-05
3.77116140,3.293732061e-05
3.77870372,2.528603791e-05
3.78624605,9.513940753e-06
3.79378837,1.717039527e-05
3.80133069,2.400661028e-05
3.80887301,6.37625717e-06
3.81641534,6.44150379e-06
3.82395766,2.174422035e-05
3.83149998,3.231758151e-05
3.83904231,2.134120271e-05
3.84658463,2.171377755e-05
3.85412695,2.976939488e-05
3.86166927,1.620516522e-05
3.86921160,1.009791159e-05
3.87675392,1.697102256e-05
3.88429624,6.995560896e-06
3.89183857,1.846446417e-05
3.89938089,2.17106816e-05
3.90692321,1.921182933e-05
3.91446553,1.001515029e-05
3.92200786,2.630464078e-05
3.92955018,1.585736895e-05
3.93709250,1.457039388e-05
3.94463483,2.111393335e-05
3.95217715,4.096732442e-05
3.95971947,9.114003025e-06
3.96726179,3.05106906e-05
3.97480412,2.616813803e-05
3.98234644,8.907027767e-06
3.98988876,5.47400391e-06
3.99743108,1.161251119e-05
4.00497341,1.750933377e-05
4.01251573,1.9136126e-05
4.02005805,1.501618096e-05
4.02760038,1.38944883e-05
4.03514270,1.925800674e-05
4.04268502,1.244316804e-05
4.05022734,2.142776754e-05
4.05776967,2.595851541e-05
4.06531199,1.879119414e-05
4.07285431,7.473968756e-06
4.08039664,1.273266919e-05
4.08793896,9.861675152e-06
4.09548128,1.027621103e-05
4.10302360,2.23724511e-05
4.11056593,1.362473703e-05
4.11810825,1.085557925e-05
4.12565057,1.508279199e-05
4.13319290,1.690074434e-05
4.14073522,3.223715577e-05
4.14827754,2.626360632e-05
4.15581986,4.279754041e-05
4.16336219,4.451807132e-05
4.17090451,2.681468512e-05
4.17844683,1.308024839e-05
4.18598915,1.13778628e-05
4.19353148,4.611934432e-05
4.20107380,5.408715638e-05
4.20861612,2.274475441e-05
4.21615845,1.581626689e-05
4.22370077,1.89052116e-05
4.23124309,3.022177031e-05
4.23878541,1.634483586e-05
4.24632774,2.59204933e-06
4.25387006,7.051557932e-06
4.26141238,2.938487428e-05
4.26895471,4.498432619e-05
4.27649703,2.189434442e-05
4.28403935,2.72598317e-05
4.29158167,9.218684372e-06
4.29912400,1.761320527e-05
4.30666632,2.695729197e-05
4.31420864,9.248975066e-06
4.32175097,1.904898377e-05
4.32929329,1.221694099e-05
4.33683561,3.02155722e-05
4.34437793,4.355365464e-05
4.35192026,3.202160056e-05
4.35946258,1.961674555e-05
4.36700490,2.021741177e-05
4.37454722,1.367667951e-05
4.38208955,3.02818402e-05
4.38963187,5.587924619e-05
4.39717419,3.98861724e-05
4.40471652,4.037890488e-05
4.41225884,4.468355347e-05
4.41980116,2.081641984e-05
4.42734348,7.676814249e-06
4.43488581,1.953783969e-05
4.44242813,2.638582156e-05
4.44997045,1.830221709e-05
4.45751278,2.476334522e-05
4.46505510,3.001985816e-05
4.47259742,1.21389049e-05
4.48013974,8.972388501e-06
4.48768207,1.762470472e-05
4.49522439,7.096323994e-07
4.50276671,6.834641511e-06
4.51030904,6.023567101e-06
4.51785136,9.697773621e-06
4.52539368,6.662320723e-06
4.53293600,1.297750204e-05
4.54047833,2.259029249e-05
4.54802065,1.993700686e-05
4.55556297,8.335937305e-06
4.56310529,1.115924896e-05
4.57064762,1.485230013e-05
4.57818994,9.602041075e-06
4.58573226,2.407796948e-05
4.59327459,2.430291923e-05
4.60081691,1.022230134e-05
4.60835923,1.056454775e-05
4.61590155,1.84558413e-05
4.62344388,5.62321837e-06
4.63098620,1.50229308e-05
4.63852852,9.832172602e-06
4.64607085,1.251331984e-05
4.65361317,1.654086529e-05
4.66115549,1.871947958e-05
4.66869781,7.120958126e-06
4.67624014,2.832714572e-06
4.68378246,1.809273542e-05
4.69132478,2.599561914e-05
4.69886711,1.579603838e-05
4.70640943,1.274215274e-05
