t_s,theta_rad,amplitude_rad,kind
72.0576,-0.09782589446719439,0.09659270640788252,trough
72.41205,0.09676258728280561,0.09799577534211748,peak
72.7665,-0.09720481742719439,0.09597162936788252,trough
73.1001,0.0967917315828056,0.09802491964211747,peak
73.45455,-0.0962941304671944,0.09506094240788253,trough
73.809,0.0946209659828056,0.09585415404211747,peak
74.16345,-0.0967405153871944,0.09550732732788253,trough
74.5179,0.0948414908828056,0.09607467894211748,peak
74.87235,-0.0957936319771944,0.09456044391788253,trough
75.20595,0.09169710068280561,0.09293028874211748,peak
75.5604,-0.0965774570871944,0.09534426902788253,trough
75.91485,0.09082478248280561,0.09205797054211748,peak
76.2693,-0.0945259151271944,0.09329272706788252,trough
76.62375,0.09094324668280561,0.09217643474211748,peak
76.9782,-0.0933329819471944,0.09209979388788253,trough
77.33265,0.09038829398280561,0.09162148204211748,peak
77.6871,-0.0904437070371944,0.08921051897788253,trough
78.0207,0.0885199159828056,0.08975310404211748,peak
78.37515,-0.0920457941271944,0.09081260606788252,trough
78.7296,0.08833978048280561,0.08957296854211748,peak
79.08405,-0.08850666576719439,0.08727347770788252,trough
79.4385,0.0893095995828056,0.09054278764211747,peak
79.79295,-0.0870328931871944,0.08579970512788253,trough
80.12655,0.08699932085280561,0.08823250891211748,peak
80.50185,-0.0856090142271944,0.08437582616788253,trough
80.83545,0.08606646915280561,0.08729965721211748,peak
81.1899,-0.0869803988571944,0.08574721079788253,trough
81.54435,0.0847583561128056,0.08599154417211748,peak
81.8988,-0.0852576724771944,0.08402448441788253,trough
82.25325,0.0827341549928056,0.08396734305211748,peak
82.6077,-0.08366578000719439,0.08243259194788252,trough
82.96215,0.08267699906280561,0.08391018712211748,peak
83.29575,-0.0837136028671944,0.08248041480788253,trough
83.6502,0.08294929247280561,0.08418248053211748,peak
84.00465,-0.08024146510719439,0.07900827704788252,trough
84.33825,0.0827778475228056,0.08401103558211748,peak
84.6927,-0.0775566886971944,0.07632350063788253,trough
85.04715,0.0815373128728056,0.08277050093211748,peak
85.42245,-0.0796201252171944,0.07838693715788253,trough
85.75605,0.0777182364328056,0.07895142449211748,peak
86.1105,-0.08169699769719439,0.08046380963788252,trough
86.46495,0.0761589145828056,0.07739210264211747,peak
86.8194,-0.0820881151171944,0.08085492705788253,trough
87.17385,0.0759278054828056,0.07716099354211747,peak
87.50745,-0.0781430920771944,0.07690990401788253,trough
87.8619,0.0777524378628056,0.07898562592211747,peak
88.21635,-0.07705351121719439,0.07582032315788252,trough
88.5708,0.07299644147280561,0.07422962953211748,peak
88.92525,-0.0759175545371944,0.07468436647788253,trough
89.2797,0.0736340942328056,0.07486728229211748,peak
89.6133,-0.0750580574671944,0.07382486940788253,trough
89.96775,0.0735696977528056,0.07480288581211747,peak
90.3222,-0.0742189954471944,0.07298580738788253,trough
90.67665,0.0737588775428056,0.07499206560211748,peak
91.0311,-0.0722965436771944,0.07106335561788253,trough
91.38555,0.0725893295528056,0.07382251761211747,peak
91.74,-0.0728904154971944,0.07165722743788253,trough
92.09445,0.0699683764528056,0.07120156451211747,peak
92.42805,-0.0692508218471944,0.06801763378788253,trough
92.76165,0.0686915591728056,0.06992474723211747,peak
93.13695,-0.0698390307371944,0.06860584267788253,trough
93.4914,0.0662435765228056,0.06747676458211747,peak
93.84585,-0.0731288572271944,0.07189566916788252,trough
94.2003,0.0655519066928056,0.06678509475211747,peak
94.5339,-0.0688384648271944,0.06760527676788253,trough
94.88835,0.06607451793280561,0.06730770599211748,peak
95.2428,-0.0690498334271944,0.06781664536788252,trough
95.59725,0.0639883822328056,0.06522157029211748,peak
95.9517,-0.0656488785271944,0.06441569046788252,trough
96.2853,0.06422893423280561,0.06546212229211748,peak
96.63975,-0.0673917233471944,0.06615853528788253,trough
97.01505,0.061441725312805597,0.06267491337211747,peak
97.34865,-0.0635357991071944,0.062302611047882525,trough
97.7031,0.0623464695628056,0.06357965762211748,peak
98.05755,-0.0628059551071944,0.06157276704788253,trough
98.412,0.06189100128280559,0.06312418934211747,peak
98.7456,-0.0630070225871944,0.06177383452788253,trough
99.10005,0.06021103971280559,0.061444227772117464,peak
99.4545,-0.0627783527271944,0.061545164667882526,trough
99.80895,0.058246565262805604,0.059479753322117475,peak
100.1634,-0.0619251194371944,0.06069193137788253,trough
100.497,0.0580801932028056,0.05931338126211747,peak
100.8723,-0.0563733632671944,0.05514017520788253,trough
101.2059,0.0583111402828056,0.059544328342117474,peak
101.56035,-0.057714541487194404,0.05648135342788253,trough
101.9148,0.056597191952805596,0.05783038001211747,peak
102.26925,-0.0592120743371944,0.05797888627788253,trough
102.6237,0.0558623632228056,0.05709555128211747,peak
102.9573,-0.0577929298971944,0.05655974183788253,trough
103.31175,0.054330595152805604,0.055563783212117475,peak
103.6662,-0.0575775417771944,0.05634435371788253,trough
104.02065,0.051796784692805596,0.05302997275211747,peak
104.35425,-0.0545675863871944,0.05333439832788253,trough
104.7087,0.052214253402805604,0.053447441462117475,peak
105.06315,-0.0533972409271944,0.05216405286788253,trough
105.4176,0.0523034051128056,0.05353659317211747,peak
105.77205,-0.0519753084071944,0.05074212034788253,trough
106.1265,0.04966401637280559,0.05089720443211746,peak
106.48095,-0.0492212235371944,0.04798803547788253,trough
106.81455,0.05084442814280559,0.05207761620211746,peak
107.169,-0.048180870417194405,0.046947682357882534,trough
107.52345,0.0511053402628056,0.052338528322117474,peak
