time_s,theta1,theta2,theta3,theta4,theta5
4.38333333,-0.8787192889,-0.1395553448,0.05504167694,0.1447332672,0.3206435596
4.4,-0.923543489,-0.1375339008,0.09136776708,0.1965398496,0.3302968746
4.41666667,-0.9508544687,-0.1381505094,0.1096170197,0.2493040528,0.348854037
4.43333333,-0.9603030131,-0.1403830804,0.115172215,0.2877923311,0.3830764536
4.45,-0.9517773569,-0.1438218861,0.1120637886,0.305554756,0.4333220754
4.46666667,-0.9253992922,-0.1483638371,0.1024780445,0.307186362,0.4915487463
4.48333333,-0.881534384,-0.154114911,0.08781340772,0.2995107166,0.5489284897
4.5,-0.8208230868,-0.1613264158,0.06934131736,0.2868848128,0.5997266447
4.51666667,-0.7443664901,-0.1702383287,0.04847217883,0.2715313502,0.6406787798
4.53333333,-0.6537659074,-0.1809534971,0.02674841041,0.2545238614,0.6699454579
4.55,-0.5510200885,-0.1934508745,0.005668082609,0.2363238015,0.6866882368
4.56666667,-0.4388921153,-0.2071556861,-0.01349366181,0.2173225005,0.6905214981
4.58333333,-0.3241200549,-0.2176654983,-0.02981267593,0.1980002521,0.6813402729
4.6,-0.2275284036,-0.2067531353,-0.04243438708,0.1789476502,0.6593263431
4.61666667,-0.1897105348,-0.1393494693,-0.04818372268,0.160904814,0.6249496366
4.63333333,-0.1947521164,-0.0509342799,-0.03067667001,0.1450573897,0.578962894
4.65,-0.2115294175,-0.01069752484,0.04203054989,0.135213154,0.5223885284
4.66666667,-0.2316842153,-0.00819789617,0.1307336778,0.1493253718,0.4565309573
4.68333333,-0.252961517,-0.01595416223,0.1669783727,0.2224761867,0.3842658488
4.7,-0.2741156294,-0.02746542131,0.1642402296,0.3181481504,0.3203432196
4.71666667,-0.2942070909,-0.04185284933,0.1515169674,0.3600161053,0.3108348317
4.73333333,-0.3125597588,-0.05883747091,0.1359243569,0.3336953114,0.3635772124
4.75,-0.3287209763,-0.07797179189,0.1168228812,0.2556061427,0.4611258264
4.76666667,-0.3424711116,-0.09873397637,0.08777941675,0.1765306433,0.5591888595
4.78333333,-0.3538524893,-0.1211303996,0.03944914488,0.1176156895,0.647413745
4.8,-0.3632158008,-0.1469980711,-0.02721125795,0.08427633694,0.7233798828
4.81666667,-0.3714107849,-0.1813877831,-0.09497479802,0.06884316934,0.7854213758
4.83333333,-0.3804208333,-0.229582258,-0.1450899244,0.06314874113,0.8322462363
4.85,-0.3947458912,-0.2863550252,-0.1713835775,0.06316819278,0.8629387848
4.86666667,-0.4219577103,-0.3346962196,-0.1793022463,0.06724319482,0.876981821
4.88333333,-0.4668703309,-0.3610174927,-0.1751521353,0.07464530238,0.874180947
4.9,-0.5238892873,-0.365878329,-0.1625301802,0.08504085976,0.8545860981
4.91666667,-0.5826648276,-0.3570092465,-0.1434211653,0.09825570596,0.818511235
4.93333333,-0.6356622085,-0.34039287,-0.1193253507,0.1141148503,0.7666497701
4.95,-0.6786861249,-0.3191693506,-0.09173623155,0.1324240192,0.7000839058
4.96666667,-0.7094724421,-0.294905117,-0.06219697044,0.1528915043,0.620267669
4.98333333,-0.7269572419,-0.2684031282,-0.03224136337,0.1751590005,0.5289976523
5.0,-0.7307151572,-0.2402384962,-0.003269641041,0.1983507258,0.4288156598
5.01666667,-0.7206254466,-0.2110878061,0.02355642862,0.2178698266,0.3262008307
5.03333333,-0.6968689597,-0.1817386167,0.0470143132,0.2162237115,0.2408771438
5.05,-0.6599320738,-0.1531168577,0.06372728082,0.160859842,0.2103353684
5.06666667,-0.6106054705,-0.126529264,0.05839162198,0.08220944748,0.2217950263
5.08333333,-0.549974079,-0.1054891767,-0.0006933649852,0.0470704179,0.24508534
5.1,-0.4793943158,-0.1056144679,-0.08260819396,0.05065963268,0.2712819952
5.11666667,-0.400696899,-0.164311532,-0.1171291315,0.06445921948,0.2979134617
5.13333333,-0.3207868647,-0.2604136259,-0.1098118748,0.08085453761,0.3236393627
5.15,-0.2774458436,-0.3221090854,-0.09319237633,0.09877237104,0.3474250532
5.16666667,-0.2989633825,-0.3130010148,-0.07646578191,0.1179182781,0.3684890285
5.18333333,-0.379749701,-0.2372968288,-0.06032451908,0.1377311705,0.3863067003
5.2,-0.4733082734,-0.1454546379,-0.04021507046,0.1573980631,0.4006021834
5.21666667,-0.5598317696,-0.06946507436,-0.004858133935,0.1763216155,0.4113569301
5.23333333,-0.6360273664,-0.02512741469,0.055591061,0.1952939413,0.4187787782
5.25,-0.7001880951,-0.008440593324,0.1286142958,0.2187485836,0.4234202802
5.26666667,-0.7509130201,-0.006694928955,0.1878994642,0.2558086404,0.4265881668
5.28333333,-0.7871307477,-0.01289792671,0.2175187006,0.3093618531,0.431663042
5.3,-0.8081048811,-0.02439147799,0.2217536797,0.3627925707,0.4462269043
5.31666667,-0.8134252917,-0.04010612181,0.2105130515,0.3944363251,0.4795406762
5.33333333,-0.8029984647,-0.05946256873,0.189612285,0.3983899681,0.5304521698
5.35,-0.777048337,-0.08200895318,0.1618938597,0.3832011084,0.58726628
5.36666667,-0.7361261371,-0.1073019987,0.129142726,0.3574905644,0.6399297775
5.38333333,-0.6811218818,-0.1348905253,0.0929505024,0.325900534,0.683025492
5.4,-0.6132660763,-0.1642635875,0.05488004502,0.290778355,0.7138710809
5.41666667,-0.5341069243,-0.1948518381,0.0164817126,0.2533847986,0.731312654
5.43333333,-0.4461266931,-0.2254372421,-0.02077838312,0.2146928022,0.7349082712
5.45,-0.3559622188,-0.2508910841,-0.0556114844,0.1757528467,0.7245274921
5.46666667,-0.2829141589,-0.2538737304,-0.08654369802,0.1376923998,0.7003496556
5.48333333,-0.2594114656,-0.2067577088,-0.1098189399,0.1017235853,0.6628679036
5.5,-0.2741032287,-0.1377216494,-0.1105304862,0.06943678537,0.6128878212
5.51666667,-0.2999057135,-0.1070264853,-0.06008274326,0.04456697381,0.551516707
5.53333333,-0.3278893785,-0.1126704669,0.01450837999,0.04205334965,0.4801373123
5.55,-0.3554666324,-0.1277623494,0.0486919517,0.09561976861,0.4003781689
5.56666667,-0.3812426299,-0.1441964984,0.04425219521,0.190739715,0.3158673824
5.58333333,-0.4041779009,-0.1605761223,0.03179207957,0.2718754276,0.2495976449
5.6,-0.4234778591,-0.1764670092,0.02115650349,0.2839025283,0.2471026834
5.61666667,-0.4385871281,-0.1912451888,0.01342957153,0.222809413,0.3111832528
5.63333333,-0.4491878163,-0.2040601329,0.005114173192,0.1291362621,0.4034738511
5.65,-0.4551804124,-0.2142608647,-0.01479569552,0.04596768158,0.4921317108
