Frequency_Hz,experiment,model_scale0p5
1.551880552328502,0.0020153279001973124,0.009743174304066219
1.559065184515208,0.0011694873046919892,0.013809802914705878
1.566249816701914,0.0016354966613440233,0.013809802914705878
1.57343444888862,0.0008972159735475353,0.013809802914705878
1.580619081075326,0.0011308371532909609,0.007896428823015283
1.587803713262032,0.0014301224853167829,0.007896428823015283
1.594988345448738,0.001384778825315281,0.005110512039334014
1.602172977635444,0.005635810078841869,0.005110512039334014
1.60935760982215,0.0077135661096748576,0.008741279694788828
1.6165422420088562,0.005311252276282867,0.008741279694788828
1.6237268741955622,0.0063037795480536925,0.008741279694788828
1.630911506382268,0.004381870152049081,0.012010403530136946
